xm,ym
1,812.4
2,887.09
3,275.94
4,381.73
5,255.32
6,295.69
7,720.51
8,295.87
9,259.81
10,315.3
11,489.87
12,249.52
13,747.6
14,190.03
15,603.87
16,367.38
17,858.67
18,345.37
19,290.4
20,532.56
21,227.43
22,553.07
23,358.2
24,292.83
25,325.18
26,580.13
27,463.96
28,369.41
29,202.87
30,256.66
31,323.41
32,437.18
33,744.55
34,647.15
35,163.8
36,472.5
37,338.17
38,623.7
39,371.02
40,403.66
41,423.23
42,739.41
43,515.33
44,361.42
45,396.9
46,536.89
47,550.14
48,469.6
49,580.25
50,380.1
51,368.43
52,444.48
53,625.75
54,794.78
