xm,ym
1,602.65
2,941.91
3,462.9
4,521.12
5,541.63
6,382.31
7,581.48
8,630.96
9,365.38
10,262.51
11,232.1
12,466.52
13,374.82
14,363.59
15,160.25
16,265.98
17,113.6
18,245.85
19,352.03
20,271.15
21,370.09
22,248.11
23,531.04
24,628.18
25,461.04
26,115.76
27,587.64
28,696.75
29,822.51
30,741.34
31,612.91
32,738.9
33,615.12
34,887.39
35,472.54
36,385.56
37,520.3
38,662.19
39,735.04
40,433.74
41,493.25
42,252.68
43,725.73
44,349.9
45,253.57
46,648.53
47,523.31
48,380.47
49,720.16
50,532.91
51,460.35
52,282.36
53,583.02
54,798.61
55,50.09
56,462.19
57,284.07
58,354.32
59,309.48
60,485.74
61,371.85
62,383.33
63,78.15
64,693.26
