xm,ym
1,0
2,0
3,0
4,78
5,83
6,146
7,62
8,112
9,62
10,0
11,63
12,107
13,57
14,44
15,47
16,75
17,47
18,78
19,82
20,78
21,71
22,58
23,77
24,53
25,29
26,89
27,91
28,97
29,61
30,101
31,77
32,77
33,126
34,76
35,55
36,42
37,112
38,100
39,82
40,92
41,85
42,83
43,42
44,62
45,86
46,66
47,52
48,36
49,44
50,32
51,58
52,65
53,87
54,28
55,78
56,110
57,71
58,63
59,51
60,99
61,98
62,76
63,154
64,158
65,111
66,115
67,163
68,56
69,127
70,161
71,122
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,110
80,155
81,163
82,144
83,135
84,121
85,101
86,165
87,115
88,170
89,151
90,138
91,154
92,126
93,122
94,64
95,85
96,93
97,71
98,76
99,99
100,90
101,84
102,115
103,38
104,119
105,74
106,45
107,76
108,48
109,49
110,28
111,105
112,56
113,39
114,63
115,76
116,68
117,39
118,18
119,45
120,23
121,0
122,32
123,18
124,14
125,51
126,50
127,54
128,29
129,29
130,31
131,34
132,43
133,39
134,75
135,81
136,19
137,99
138,106
139,85
140,72
141,318
142,142
143,161
144,162
145,123
146,300
147,148
148,245
149,206
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,151
158,147
159,152
160,139
161,99
162,0
163,0
164,78
165,172
166,155
167,107
168,138
169,64
170,55
171,69
172,42
173,62
174,98
175,45
176,48
177,64
178,52
179,46
180,94
181,0
182,97
183,54
184,95
185,116
186,129
187,81
188,44
189,78
190,0
191,93
192,100
193,86
194,0
195,45
196,54
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,220
222,265
223,262
224,144
225,143
226,210
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,62
235,61
236,56
237,84
238,109
239,145
240,70
241,82
242,134
243,79
244,61
245,114
246,110
247,52
248,96
249,96
250,111
251,80
252,127
253,89
254,72
255,65
256,68
257,39
258,50
259,48
260,0
261,117
262,0
263,58
264,62
265,0
266,118
267,59
268,0
269,111
270,98
271,74
272,94
273,56
274,139
275,67
276,93
277,80
278,43
279,93
280,103
281,68
282,79
283,142
284,62
285,117
286,90
287,148
288,81
289,87
290,120
291,76
292,86
293,59
294,52
295,70
296,218
297,94
298,222
299,84
300,194
301,69
302,89
303,123
304,96
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,86
314,126
315,156
316,172
317,0
318,62
319,70
320,125
321,59
322,84
323,98
324,0
325,110
326,119
327,97
328,100
329,93
330,61
331,49
332,56
333,75
334,60
335,0
336,83
337,73
338,27
339,80
340,46
341,97
342,28
343,93
344,126
345,119
346,34
347,0
348,38
349,67
350,0
351,102
352,75
353,44
354,131
355,89
356,61
357,87
358,95
359,62
360,84
361,71
362,74
363,93
364,80
365,87
366,0
367,94
368,64
369,58
370,87
371,80
372,110
373,87
374,101
375,125
376,135
377,115
378,236
379,126
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
