xm,ym
1,315.97
2,316.91
3,317.64
4,318.45
5,318.99
6,319.62
7,320.04
8,321.38
9,322.16
10,323.04
11,324.62
12,325.68
13,326.32
14,327.45
15,329.68
16,330.18
17,331.11
18,332.04
19,333.83
20,335.4
21,336.84
22,338.75
23,340.11
24,341.45
25,343.05
26,344.65
27,346.12
28,347.42
29,349.18
30,351.57
31,353.12
32,354.39
33,355.61
34,356.45
35,357.1
36,358.83
37,360.82
38,362.61
39,363.73
40,366.7
41,368.38
42,369.55
43,371.14
44,373.28
45,375.8
46,377.52
47,379.8
48,381.9
49,383.79
50,385.6
51,387.43
52,389.9
53,391.65
54,393.85
55,396.52
56,398.65
57,400.83
58,404.21
